2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
XCHG2AF1,CHG1TGTD,CHG2AT2,XCHG2AF2,XCHG2AF3,CHG2AY3,CHG2TGTD,CHG3AY0,No Match
CHG2AF1,CHG1FGTD,XCHG2AF2,CHG2AF2,CHG2AF3,CHG2TGTD,CHG2FGTD,XCHG3AT1,No Match
XCHG2AY1,XCHG2AT0,CHG2AF2,XCHG2AY2,XCHG2AY3,CHG2FGTD,XCHG3AT0,CHG3AT1,No Match
CHG2AY1,CHG2AT0,XCHG2AY2,CHG2AY2,CHG2AY3,XCHG3AT0,CHG3AT0,XCHG3AF1,No Match
XCHG2AT2,XCHG2AF0,CHG2AY2,XCHG2AT3,CHG2TGTD,CHG3AT0,XCHG3AF0,CHG3AF1,No Match
CHG2AT2,CHG2AF0,XCHG2AT3,CHG2AT3,CHG2FGTD,XCHG3AF0,CHG3AF0,XCHG3AY1,No Match
XCHG2AF2,XCHG2AY0,CHG2AT3,XCHG2AF3,XCHG3AT0,CHG3AF0,XCHG3AY0,CHG3AY1,No Match
CHG2AF2,CHG2AY0,XCHG2AF3,CHG2AF3,CHG3AT0,XCHG3AY0,CHG3AY0,XCHG3AT2,No Match
XCHG2AY2,XCHG2AT1,CHG2AF3,XCHG2AY3,XCHG3AF0,CHG3AY0,XCHG3AT1,CHG3AT2,No Match
CHG2AY2,CHG2AT1,XCHG2AY3,CHG2AY3,CHG3AF0,XCHG3AT1,CHG3AT1,XCHG3AF2,No Match
XCHG2AT3,XCHG2AF1,CHG2AY3,CHG2TGTD,XCHG3AY0,CHG3AT1,XCHG3AF1,CHG3AF2,No Match
CHG2AT3,CHG2AF1,CHG2TGTD,CHG2FGTD,CHG3AY0,XCHG3AF1,CHG3AF1,XCHG3AY2,No Match
XCHG2AF3,XCHG2AY1,CHG2FGTD,XCHG3AT0,XCHG3AT1,CHG3AF1,XCHG3AY1,CHG3AY2,No Match
CHG2AF3,CHG2AY1,XCHG3AT0,CHG3AT0,CHG3AT1,XCHG3AY1,CHG3AY1,XCHG3AT3,No Match
XCHG2AY3,XCHG2AT2,CHG3AT0,XCHG3AF0,XCHG3AF1,CHG3AY1,XCHG3AT2,CHG3AT3,No Match
CHG2AY3,CHG2AT2,XCHG3AF0,CHG3AF0,CHG3AF1,XCHG3AT2,CHG3AT2,XCHG3AF3,No Match
CHG2TGTD,XCHG2AF2,CHG3AF0,XCHG3AY0,XCHG3AY1,CHG3AT2,XCHG3AF2,CHG3AF3,No Match
CHG2FGTD,CHG2AF2,XCHG3AY0,CHG3AY0,CHG3AY1,XCHG3AF2,CHG3AF2,XCHG3AY3,No Match
XCHG3AT0,XCHG2AY2,CHG3AY0,XCHG3AT1,XCHG3AT2,CHG3AF2,XCHG3AY2,CHG3AY3,No Match
CHG3AT0,CHG2AY2,XCHG3AT1,CHG3AT1,CHG3AT2,XCHG3AY2,CHG3AY2,CHG3TGTD,No Match
XCHG3AF0,XCHG2AT3,CHG3AT1,XCHG3AF1,XCHG3AF2,CHG3AY2,XCHG3AT3,CHG3FGTD,No Match
CHG3AF0,CHG2AT3,XCHG3AF1,CHG3AF1,CHG3AF2,XCHG3AT3,CHG3AT3,XCHG4AY0,No Match
XCHG3AY0,XCHG2AF3,CHG3AF1,XCHG3AY1,XCHG3AY2,CHG3AT3,XCHG3AF3,CHG4AY0,No Match
CHG3AY0,CHG2AF3,XCHG3AY1,CHG3AY1,CHG3AY2,XCHG3AF3,CHG3AF3,XCHG4AY1,No Match
XCHG3AT1,XCHG2AY3,CHG3AY1,XCHG3AT2,XCHG3AT3,CHG3AF3,XCHG3AY3,CHG4AY1,No Match
CHG3AT1,CHG2AY3,XCHG3AT2,CHG3AT2,CHG3AT3,XCHG3AY3,CHG3AY3,XCHG4AY2,No Match
XCHG3AF1,CHG2TGTD,CHG3AT2,XCHG3AF2,XCHG3AF3,CHG3AY3,CHG3TGTD,CHG4AY2,No Match
CHG3AF1,CHG2FGTD,XCHG3AF2,CHG3AF2,CHG3AF3,CHG3TGTD,CHG3FGTD,XCHG4AY3,No Match
XCHG3AY1,XCHG3AT0,CHG3AF2,XCHG3AY2,XCHG3AY3,CHG3FGTD,XCHG4AY0,CHG4AY3,No Match
CHG3AY1,CHG3AT0,XCHG3AY2,CHG3AY2,CHG3AY3,XCHG4AY0,CHG4AY0,XCHG5AY0,No Match
XCHG3AT2,XCHG3AF0,CHG3AY2,XCHG3AT3,CHG3TGTD,CHG4AY0,XCHG4AY1,CHG5AY0,No Match
CHG3AT2,CHG3AF0,XCHG3AT3,CHG3AT3,CHG3FGTD,XCHG4AY1,CHG4AY1,XCHG5AY1,No Match
XCHG3AF2,XCHG3AY0,CHG3AT3,XCHG3AF3,XCHG4AY0,CHG4AY1,XCHG4AY2,CHG5AY1,No Match
CHG3AF2,CHG3AY0,XCHG3AF3,CHG3AF3,CHG4AY0,XCHG4AY2,CHG4AY2,XCHG5AY2,No Match
XCHG3AY2,XCHG3AT1,CHG3AF3,XCHG3AY3,XCHG4AY1,CHG4AY2,XCHG4AY3,CHG5AY2,No Match
CHG3AY2,CHG3AT1,XCHG3AY3,CHG3AY3,CHG4AY1,XCHG4AY3,CHG4AY3,XCHG5AY3,No Match
XCHG3AT3,XCHG3AF1,CHG3AY3,CHG3TGTD,XCHG4AY2,CHG4AY3,XCHG5AY0,CHG5AY3,No Match
CHG3AT3,CHG3AF1,CHG3TGTD,CHG3FGTD,CHG4AY2,XCHG5AY0,CHG5AY0,XCHG6AY0,No Match
XCHG3AF3,XCHG3AY1,CHG3FGTD,XCHG4AY0,XCHG4AY3,CHG5AY0,XCHG5AY1,CHG6AY0,No Match
CHG3AF3,CHG3AY1,XCHG4AY0,CHG4AY0,CHG4AY3,XCHG5AY1,CHG5AY1,XCHG6AY1,No Match
XCHG3AY3,XCHG3AT2,CHG4AY0,XCHG4AY1,XCHG5AY0,CHG5AY1,XCHG5AY2,CHG6AY1,No Match
CHG3AY3,CHG3AT2,XCHG4AY1,CHG4AY1,CHG5AY0,XCHG5AY2,CHG5AY2,XCHG6AY2,No Match
CHG3TGTD,XCHG3AF2,CHG4AY1,XCHG4AY2,XCHG5AY1,CHG5AY2,XCHG5AY3,CHG6AY2,No Match
CHG3FGTD,CHG3AF2,XCHG4AY2,CHG4AY2,CHG5AY1,XCHG5AY3,CHG5AY3,XCHG6AY3,No Match
XCHG4AY0,XCHG3AY2,CHG4AY2,XCHG4AY3,XCHG5AY2,CHG5AY3,XCHG6AY0,CHG6AY3,No Match
CHG4AY0,CHG3AY2,XCHG4AY3,CHG4AY3,CHG5AY2,XCHG6AY0,CHG6AY0,XCHG7AY0,No Match
XCHG4AY1,XCHG3AT3,CHG4AY3,XCHG5AY0,XCHG5AY3,CHG6AY0,XCHG6AY1,CHG7AY0,No Match
CHG4AY1,CHG3AT3,XCHG5AY0,CHG5AY0,CHG5AY3,XCHG6AY1,CHG6AY1,XCHG7AY1,No Match
XCHG4AY2,XCHG3AF3,CHG5AY0,XCHG5AY1,XCHG6AY0,CHG6AY1,XCHG6AY2,CHG7AY1,No Match
CHG4AY2,CHG3AF3,XCHG5AY1,CHG5AY1,CHG6AY0,XCHG6AY2,CHG6AY2,XCHG7AY2,No Match
XCHG4AY3,XCHG3AY3,CHG5AY1,XCHG5AY2,XCHG6AY1,CHG6AY2,XCHG6AY3,CHG7AY2,No Match
CHG4AY3,CHG3AY3,XCHG5AY2,CHG5AY2,CHG6AY1,XCHG6AY3,CHG6AY3,XCHG7AY3,No Match
XCHG5AY0,CHG3TGTD,CHG5AY2,XCHG5AY3,XCHG6AY2,CHG6AY3,XCHG7AY0,CHG7AY3,No Match
CHG5AY0,CHG3FGTD,XCHG5AY3,CHG5AY3,CHG6AY2,XCHG7AY0,CHG7AY0,XCHG8AY0,No Match
XCHG5AY1,XCHG4AY0,CHG5AY3,XCHG6AY0,XCHG6AY3,CHG7AY0,XCHG7AY1,CHG8AY0,No Match
CHG5AY1,CHG4AY0,XCHG6AY0,CHG6AY0,CHG6AY3,XCHG7AY1,CHG7AY1,XCHG8AY1,No Match
XCHG5AY2,XCHG4AY1,CHG6AY0,XCHG6AY1,XCHG7AY0,CHG7AY1,XCHG7AY2,CHG8AY1,No Match
CHG5AY2,CHG4AY1,XCHG6AY1,CHG6AY1,CHG7AY0,XCHG7AY2,CHG7AY2,XCHG8AY2,No Match
XCHG5AY3,XCHG4AY2,CHG6AY1,XCHG6AY2,XCHG7AY1,CHG7AY2,XCHG7AY3,CHG8AY2,No Match
CHG5AY3,CHG4AY2,XCHG6AY2,CHG6AY2,CHG7AY1,XCHG7AY3,CHG7AY3,XCHG8AY3,No Match
XCHG6AY0,XCHG4AY3,CHG6AY2,XCHG6AY3,XCHG7AY2,CHG7AY3,XCHG8AY0,CHG8AY3,No Match
CHG6AY0,CHG4AY3,XCHG6AY3,CHG6AY3,CHG7AY2,XCHG8AY0,CHG8AY0,XCHG9AY0,No Match
XCHG6AY1,XCHG5AY0,CHG6AY3,XCHG7AY0,XCHG7AY3,CHG8AY0,XCHG8AY1,CHG9AY0,No Match
CHG6AY1,CHG5AY0,XCHG7AY0,CHG7AY0,CHG7AY3,XCHG8AY1,CHG8AY1,XCHG9AY1,No Match
XCHG6AY2,XCHG5AY1,CHG7AY0,XCHG7AY1,XCHG8AY0,CHG8AY1,XCHG8AY2,CHG9AY1,No Match
CHG6AY2,CHG5AY1,XCHG7AY1,CHG7AY1,CHG8AY0,XCHG8AY2,CHG8AY2,XCHG9AY2,No Match
XCHG6AY3,XCHG5AY2,CHG7AY1,XCHG7AY2,XCHG8AY1,CHG8AY2,XCHG8AY3,CHG9AY2,No Match
CHG6AY3,CHG5AY2,XCHG7AY2,CHG7AY2,CHG8AY1,XCHG8AY3,CHG8AY3,XCHG9AY3,No Match
XCHG7AY0,XCHG5AY3,CHG7AY2,XCHG7AY3,XCHG8AY2,CHG8AY3,XCHG9AY0,CHG9AY3 ,No Match
CHG7AY0,CHG5AY3,XCHG7AY3,CHG7AY3,CHG8AY2,XCHG9AY0,CHG9AY0,,No Match
XCHG7AY1,XCHG6AY0,CHG7AY3,XCHG8AY0,XCHG8AY3,CHG9AY0,XCHG9AY1,,No Match
CHG7AY1,CHG6AY0,XCHG8AY0,CHG8AY0,CHG8AY3,XCHG9AY1,CHG9AY1,,No Match
XCHG7AY2,XCHG6AY1,CHG8AY0,XCHG8AY1,XCHG9AY0,CHG9AY1,XCHG9AY2,,No Match
CHG7AY2,CHG6AY1,XCHG8AY1,CHG8AY1,CHG9AY0,XCHG9AY2,CHG9AY2,,No Match
XCHG7AY3,XCHG6AY2,CHG8AY1,XCHG8AY2,XCHG9AY1,CHG9AY2,XCHG9AY3,,No Match
CHG7AY3,CHG6AY2,XCHG8AY2,CHG8AY2,CHG9AY1,XCHG9AY3,CHG9AY3 ,,No Match
XCHG8AY0,XCHG6AY3,CHG8AY2,XCHG8AY3,XCHG9AY2,CHG9AY3 ,,,
CHG8AY0,CHG6AY3,XCHG8AY3,CHG8AY3,CHG9AY2,,,,
XCHG8AY1,XCHG7AY0,CHG8AY3,XCHG9AY0,XCHG9AY3,,,,
CHG8AY1,CHG7AY0,XCHG9AY0,CHG9AY0,CHG9AY3 ,,,,
XCHG8AY2,XCHG7AY1,CHG9AY0,XCHG9AY1,,,,,
CHG8AY2,CHG7AY1,XCHG9AY1,CHG9AY1,,,,,
XCHG8AY3,XCHG7AY2,CHG9AY1,XCHG9AY2,,,,,
CHG8AY3,CHG7AY2,XCHG9AY2,CHG9AY2,,,,,
XCHG9AY0,XCHG7AY3,CHG9AY2,XCHG9AY3,,,,,
CHG9AY0,CHG7AY3,XCHG9AY3,CHG9AY3 ,,,,,
XCHG9AY1,XCHG8AY0,CHG9AY3 ,,,,,,
CHG9AY1,CHG8AY0,,,,,,,
XCHG9AY2,XCHG8AY1,,,,,,,
CHG9AY2,CHG8AY1,,,,,,,
XCHG9AY3,XCHG8AY2,,,,,,,
CHG9AY3 ,CHG8AY2,,,,,,,
,XCHG8AY3,,,,,,,
,CHG8AY3,,,,,,,
,XCHG9AY0,,,,,,,
,CHG9AY0,,,,,,,
,XCHG9AY1,,,,,,,
,CHG9AY1,,,,,,,
,XCHG9AY2,,,,,,,
,CHG9AY2,,,,,,,
,XCHG9AY3,,,,,,,
,CHG9AY3 ,,,,,,,
