2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
IMP_OM,IMP_OM,PCOM_F,IMP_OM,IMP_OM,IMP_OM,STAT_ADM,STAT_ADM,Match
STAT_ADM,STAT_ADM,IMP_OM,STAT_ADM,STAT_ADM,STAT_ADM,LOCK_ADM,LOCK_ADM,Match
LOCK_ADM,LOCK_ADM,STAT_ADM,LOCK_ADM,LOCK_ADM,LOCK_ADM,IMP_ADM,IMP_ADM,Match
PRCH_ADM,PRCH_ADM,LOCK_ADM,PRCH_ADM,PRCH_ADM,IMP_ADM,STAT_HR,STAT_HR,Match
IDX_ADM,IDX_ADM,PRCH_ADM,IDX_ADM,IDX_ADM,STAT_HR,LOCK_HR,LOCK_HR,Match
PCADM_F,PCADM_F,IDX_ADM,PCADM_F,PCADM_F,LOCK_HR,PRCH_HR,PRCH_HR,Match
IMP_ADM,IMP_ADM,PCADM_F,IMP_ADM,IMP_ADM,PRCH_HR,IDX_HR,IDX_HR,Match
STAT_HR,STAT_HR,IMP_ADM,STAT_HR,STAT_HR,IDX_HR,PCHR_F,PCHR_F,Match
LOCK_HR,LOCK_HR,STAT_HR,LOCK_HR,LOCK_HR,PCHR_F,IMP_HR,IMP_HR,Match
PRCH_HR,PRCH_HR,LOCK_HR,PRCH_HR,PRCH_HR,IMP_HR,FTEMP15,FTEMP15,Match
IDX_HR,IDX_HR,PRCH_HR,IDX_HR,IDX_HR,FTEMP15,TENURSYS,TENURSYS,Match
PCHR_F,PCHR_F,IDX_HR,PCHR_F,PCHR_F,TENURSYS,SA_EXCL,SA_EXCL,Match
IMP_HR,IMP_HR,PCHR_F,IMP_HR,IMP_HR,SA_EXCL,STAT_EAP,STAT_EAP,Match
FTEMP15,FTEMP15,IMP_HR,FTEMP15,FTEMP15,STAT_EAP,STAT_SA,STAT_SA,Match
TENURSYS,TENURSYS,FTEMP15,TENURSYS,TENURSYS,STAT_SA,STAT_S,STAT_S,Match
SA_EXCL,SA_EXCL,TENURSYS,SA_EXCL,SA_EXCL,STAT_S,STAT_EF,STAT_EF,Match
STAT_EAP,STAT_EAP,SA_EXCL,STAT_EAP,STAT_EAP,STAT_EF,LOCK_EF,LOCK_EF,Match
STAT_SA,STAT_SA,STAT_EAP,STAT_SA,STAT_SA,LOCK_EF,PRCH_EF,PRCH_EF,Match
STAT_S,STAT_S,STAT_SA,STAT_S,STAT_S,PRCH_EF,IDX_EF,IDX_EF,Match
STAT_EF,STAT_EF,STAT_S,STAT_EF,STAT_EF,IDX_EF,PCEF_F,PCEF_F,Match
LOCK_EF,LOCK_EF,STAT_EF,LOCK_EF,LOCK_EF,PCEF_F,IMP_EF,IMP_EF,Match
